Rank,Journal
16720,Memo - Magazine of European Medical Oncology
16721,National Journal of Maxillofacial Surgery
16722,Non-ferrous Metals
16723,Northwestern Geology
16724,Qualitative Research Reports in Communication
16725,Range Management and Agroforestry
16726,Redia
16727,Regions and Cohesion
16728,Revista Espanola de Orientacion y Psicopedagogia
16729,Ruthenica
16730,Telkomnika (Telecommunication Computing Electronics and Control)
16731,Tropical Grasslands - Forrajes Tropicales
16732,Annals of Maxillofacial Surgery
16733,Bulletin of Geography. Socio-economic Series
16734,Bulletin of Monetary Economics and Banking
16735,Chemical Data Collections
16736,Global Biosecurity
16737,Indian Journal of Dental Research
16738,International Journal of Educational Methodology
16739,International Journal of Industrial and Systems Engineering
16740,International Journal of Sustainable Development and Planning
16741,Iranian Journal of Science and Technology
16742,Journal of Algebra and Related Topics
16743,Journal of Avian Medicine and Surgery
16744,Journal of Bioinformatics and Computational Biology
16745,Journal of Indian Philosophy
16746,Journal of Information and Knowledge Management
16747,Journal of International Logistics and Trade
16748,Journal of Poetry Therapy
16749,Journal of Religion and Spirituality in Social Work
16750,Journal of Sindhi Studies
16751,Kronika
16752,Military Behavioral Health
16753,Muzeologia a Kulturne Dedicstvo
16754,Nigerian Journal of Clinical Practice
16755,Polymers from Renewable Resources
16756,Research in Post-Compulsory Education
16757,SAE International Journal of Electrified Vehicles
16758,Ukrainian Geographical Journal
16759,X-Ray Spectrometry
16760,Acta Mathematicae Applicatae Sinica
16761,Ager
16762,Bolema - Mathematics Education Bulletin
16763,Current Herpetology
16764,Health Risk Analysis
16765,International Journal of Evidence Based Coaching and Mentoring
16766,International Journal of Revenue Management
16767,International Journal on Food System Dynamics
16768,Iranian Journal of Psychiatry and Behavioral Sciences
16769,Irish Geography
16770,Journal of Content
16771,Journal of Forest Economics
16772,Journal of Human Rights Practice
16773,Journal of Nanophotonics
16774,Journal of Nursing and Midwifery Sciences
16775,Journal of Sustainable Architecture and Civil Engineering
16776,Journal of the Faculty of Engineering and Architecture of Gazi University
16777,Korean Journal of Remote Sensing
16778,Logos and Episteme
16779,Logos: Revista de Linguistica
16780,Mausam
16781,Mikrobiyoloji Bulteni
16782,Natura Croatica
16783,Oncologie
16784,Plasma and Fusion Research
16785,Respirology Case Reports
16786,Sensors and Materials
16787,Siglo Cero
16788,Stability
16789,Structural Integrity and Life
16790,Urology Annals
16791,Acta medica academica
16792,Advances in Oceanography and Limnology
16793,American Historical Review
16794,Annales de Dermatologie et de Venereologie
16795,Ansiedad y Estres
16796,Applied Set-Valued Analysis and Optimization
16797,Archives of Electrical Engineering
16798,British journal of hospital medicine (London
16799,CAB Reviews: Perspectives in Agriculture
16800,Current Directions in Biomedical Engineering
16801,Digest of Technical Papers - IEEE International Conference on Consumer Electronics
16802,Drugs
16803,Enterprise Modelling and Information Systems Architectures
16804,Eurasian Journal of Medicine
16805,Foundations of Computing and Decision Sciences
16806,Gateways
16807,Gornyi Zhurnal
16808,Hepatology Forum
16809,HTM - Journal of Heat Treatment and Materials
16810,Humanistic Management Journal
16811,Information Technologies and International Development
16812,International Journal of Ad Hoc and Ubiquitous Computing
16813,International Journal of Asian Business and Information Management
16814,International Journal of Embedded Systems
16815,International Journal of Geophysics
16816,International Journal of Healthcare Information Systems and Informatics
16817,International Journal of Logistics Systems and Management
16818,International Journal of Sustainable Agricultural Management and Informatics
16819,Iranian Journal of Fisheries Sciences
16820,Journal of Binocular Vision and Ocular Motility
16821,Journal of Carbohydrate Chemistry
16822,Journal of Feminist Family Therapy
16823,Journal of Investigative Psychology and Offender Profiling
16824,Journal of Mining and Environment
16825,Kongqi Donglixue Xuebao/Acta Aerodynamica Sinica
16826,Language Value
16827,Medizinische Klinik - Intensivmedizin und Notfallmedizin
16828,Midwest Symposium on Circuits and Systems
16829,Numerical Analysis and Applications
16830,Plateau Meteorology
16831,Political Science Quarterly
16832,Potchefstroom Electronic Law Journal
16833,Proceedings of the Jangjeon Mathematical Society
16834,Pyrenae
16835,Revista de Biologia Tropical
16836,Saudi Journal of Ophthalmology
16837,Statistics in Transition
16838,Studia Geophysica et Geodaetica
16839,Zhongguo Kexue Jishu Kexue/Scientia Sinica Technologica
16840,Acta Cirurgica Brasileira
16841,Acta Mathematica Vietnamica
16842,Air and Space Law
16843,Australian Journal of Chemistry
16844,Baltic Journal of Road and Bridge Engineering
16845,Business
16846,Casopis pro Moderni Filologii
16847,Clinical Laboratory
16848,Clinics in Podiatric Medicine and Surgery
16849,Communication Disorders Quarterly
16850,Current Nanoscience
16851,Drug Metabolism and Personalized Therapy
16852,Ecological Engineering: X
16853,Elektronika ir Elektrotechnika
16854,Geologica Balcanica
16855,Immunohematology
16856,International Journal of Intelligent Unmanned Systems
16857,International Journal of Knowledge-Based and Intelligent Engineering Systems
16858,International Medical Case Reports Journal
16859,Iranian Journal of Electrical and Electronic Engineering
16860,Iranian Journal of Pathology
16861,Italian Sociological Review
16862,Journal of Applied Mechanics and Technical Physics
16863,Journal of Family Trauma
16864,Journal of Interdisciplinary Economics
16865,Journal of Medical Imaging and Radiation Sciences
16866,Journal of Northwest Atlantic Fishery Science
16867,Journal of Scientometric Research
16868,Modern Law Review
16869,Movimento
16870,Open Psychology Journal
16871,Opto-Electronics Review
16872,Postcolonial Studies
16873,Quaestiones Geographicae
16874,Revista de la Asociacion Geologica Argentina
16875,Revstat Statistical Journal
16876,Rubber Chemistry and Technology
16877,Sucht
16878,Technology and Health Care
16879,Xiyou jinshu
16880,Acta Ichthyologica et Piscatoria
16881,All Life
16882,Applied Mathematics and Information Sciences
16883,Bulletin of the Institute of Combinatorics and its Applications
16884,Clinical Neuropathology
16885,Crustaceana
16886,DETUROPE
16887,Estudos Avancados
16888,Geomatics and Environmental Engineering
16889,Gesture
16890,Hermes (Denmark)
16891,Image Processing On Line
16892,Intelligent Decision Technologies
16893,International Criminal Law Review
16894,International Journal of Acoustics and Vibrations
16895,International Journal of Optics
16896,International Journal of Plasma Environmental Science and Technology
16897,International Journal of Reliability
16898,Isokinetics and Exercise Science
16899,Journal of Advanced Biotechnology and Experimental Therapeutics
16900,Journal of Advanced Research in Fluid Mechanics and Thermal Sciences
16901,Journal of Curriculum and Pedagogy
16902,Journal of Medicinal and Pharmaceutical Chemistry Research
16903,Journal of Vector Borne Diseases
16904,Magazine of Civil Engineering
16905,Microbiology Resource Announcements
16906,Munibe Antropologia-Arkeologia
16907,New Zealand College of Midwives Journal
16908,Pedagogy of Physical Culture and Sports
16909,Physical Therapy Reviews
16910,Qinghua Daxue Xuebao/Journal of Tsinghua University
16911,Radiologia Brasileira
16912,Research Journal of Pharmacy and Technology
16913,Revista Mexicana de Ingeniera Quimica
16914,Surgical technology international
16915,Turkiye parazitolojii dergisi
16916,Acta et Commentationes Universitatis Tartuensis de Mathematica
16917,Acta Palaeobotanica
16918,Ad-Hoc and Sensor Wireless Networks
16919,African Journal of Infectious Diseases
16920,Belgian Journal of Linguistics
16921,Biomedical papers of the Medical Faculty of the University Palacký
16922,Biostatistics and Epidemiology
16923,Cauriensia
16924,Ceramica
16925,Chemistry and Chemical Technology
16926,Cybernetics and Physics
16927,Diagnostyka
16928,Folia Biologica
16929,Forum for Health Economics and Policy
16930,Genetical Research
16931,Hague Journal of Diplomacy
16932,Information Research
16933,International Journal of Hematology-Oncology and Stem Cell Research
16934,International Journal of Microsimulation
16935,Journal of Applied Botany and Food Quality
16936,Journal of Eastern Mediterranean Archaeology and Heritage Studies
16937,Journal of Machinery Manufacture and Reliability
16938,Journal of Spectral Imaging
16939,Journal of the Canadian Chiropractic Association
16940,Journal of the Magnetics Society of Japan
16941,Journal of Youth Development
16942,Landscape Journal
16943,Mathematics in Computer Science
16944,OnLine Journal of Biological Sciences
16945,Patterns of Prejudice
16946,Practical Diabetes
16947,Proceedings - IEEE Military Communications Conference
16948,Progress in neurological surgery
16949,Revista Catalana de Dret Public
16950,Serbian Astronomical Journal
16951,Sexual Health and Compulsivity
16952,Soins Psychiatrie
16953,Spectroscopy Letters
16954,Studies in Conservation
16955,Thalassas
16956,Turk Psikiyatri Dergisi
16957,Ulusal Travma ve Acil Cerrahi Dergisi
16958,Wiadomosci Konserwatorskie
16959,Advances in Mathematical Physics
16960,African Journal of Wildlife Research
16961,Algebra and Discrete Mathematics
16962,Alpine Entomology
16963,Applied Physics B: Lasers and Optics
16964,Archives of Razi Institute
16965,Asian Myrmecology
16966,Biocontrol Science
16967,Cellulose Chemistry and Technology
16968,Chemical Biology Letters
16969,Clinical Advances in Hematology and Oncology
16970,Clinical Reviews in Bone and Mineral Metabolism
16971,Communication Teacher
16972,Conformal Geometry and Dynamics
16973,Educacion Medica
16974,Etnograficeskoe Obozrenie
16975,European Law Review
16976,Historia
16977,Iconos
16978,Indonesian Journal of Chemistry
16979,International Journal of Service Science
16980,International Journal of Six Sigma and Competitive Advantage
16981,Intertax
16982,Journal of Aeronautics
16983,Journal of Agrometeorology
16984,Journal of Applied Science and Engineering (Taiwan)
16985,Journal of Electronic Imaging
16986,Journal of Membrane Science and Research
16987,Journal of Optimization in Industrial Engineering
16988,Journal of Population and Social Studies
16989,Journal of Spectroscopy
16990,Journal of The American Institute for Conservation
16991,Journal of the Brazilian Chemical Society
16992,Journal of the Canadian Health Libraries Association
16993,Krisis
16994,Lex Portus
16995,Marketing
16996,Mutatis Mutandis
16997,Open Biotechnology Journal
16998,Professions and Professionalism
16999,Psyecology
17000,Quaestio Rossica
17001,Radiation Protection Dosimetry
17002,Revista Brasileira de Ciencias Sociais
17003,Sahand Communications in Mathematical Analysis
17004,ScienceAsia
17005,Studies in Political Economy
17006,Sustainability and climate change
17007,Advances in Group Theory and Applications
17008,Annales-Anali za Istrske in Mediteranske Studije - Series Historia et Sociologia
17009,Children Australia
17010,Collegiate Aviation Review
17011,Feminist Formations
17012,Gastroenterologia y Hepatologia
17013,Hematology Reports
17014,International Journal of Communication Networks and Distributed Systems
17015,International Journal of Mechanical Engineering and Robotics Research
17016,Journal of Labor Research
17017,Journal of Mining and Metallurgy
17018,Journal of The Institution of Engineers (India): Series D
17019,Lithology and Mineral Resources
17020,Mapan - Journal of Metrology Society of India
17021,Margin
17022,Modern Rheumatology Case Reports
17023,New Voices in Translation Studies
17024,Obrazovanie i Nauka
17025,Philosophies
17026,Projections (New York)
17027,Revista Iberoamericana de Diagnostico y Evaluacion Psicologica
17028,Romanian Journal of Communication and Public Relations
17029,Separation Science Plus
17030,Studijne Zvesti Archeologickeho Ustavu Slovenskej Akademie Vied
17031,Terra Economicus
17032,Theatre Research in Canada-Recherches Theatrales au Canada
17033,Tizard Learning Disability Review
17034,Traditiones
17035,Wine Economics and Policy
17036,Acta IMEKO
17037,Advances in Materials Research (South Korea)
17038,African Conflict and Peacebuilding Review
17039,ASEAN Journal on Science and Technology for Development
17040,AsiaIntervention
17041,Australian Journal of Electrical and Electronics Engineering
17042,Boletin de Geologia
17043,British Journal of Community Nursing
17044,Case Reports in Dermatological Medicine
17045,Critical Studies in Teaching and Learning
17046,Cuestiones Teologicas
17047,Demografie
17048,Documenta et Instrumenta
17049,Forum for Social Economics
17050,Geological Bulletin of China
17051,Global Nest Journal
17052,Harbin Gongye Daxue Xuebao/Journal of Harbin Institute of Technology
17053,Hellenic Journal of Nuclear Medicine
17054,IBM Journal of Research and Development
17055,International Journal of Design Sciences and Technology
17056,Jingangshi yu Moliao Moju Gongcheng/Diamond and Abrasives Engineering
17057,Journal of Chemical Metrology
17058,Journal of Health Care Finance
17059,Journal of Liquid Chromatography and Related Technologies
17060,Journal of Psychology and Theology
17061,Klinische Monatsblatter fur Augenheilkunde
17062,Magnetohydrodynamics
17063,Micro and Nano Letters
17064,Nucleosides
17065,Perspectives in Biology and Medicine
17066,Proceedings - Symposium on Computer Arithmetic
17067,Proceedings of the Workshop on Enabling Technologies: Infrastructure for Collaborative Enterprises
17068,Process Safety Progress
17069,Region
17070,Research on Engineering Structures and Materials
17071,Review of Regional Studies
17072,Revista Argentina de Antropologia Biologica
17073,Russian Engineering Research
17074,Technical Services Quarterly
17075,Tehnicki Vjesnik
17076,Trends in Anaesthesia and Critical Care
17077,Advances in Environmental Technology
17078,Agri Dergisi
17079,Analytical Methods in Environmental Chemistry Journal
17080,Cambridge Law Journal
17081,Case Reports in Anesthesiology
17082,Central European Journal of Nursing and Midwifery
17083,Current Medical Mycology
17084,Electrical Contacts
17085,European Journal of Case Reports in Internal Medicine
17086,Feddes Repertorium
17087,Financial History Review
17088,Forestry Chronicle
17089,Fractional Differential Calculus
17090,Hellenic Journal of Psychology
17091,Hong Kong Medical Journal
17092,Infinity Journal
17093,International Geoscience and Remote Sensing Symposium (IGARSS)
17094,International Journal of Clinical Pharmacology and Therapeutics
17095,International Journal of Industrial Chemistry
17096,Journal of Applied Engineering Science
17097,Journal of Comparative Social Work
17098,Journal of Computational Applied Mechanics
17099,Journal of Disability and Religion
17100,Journal of Integrated Design and Process Science
17101,Journal of Pharmacy and Bioallied Sciences
17102,Pakistan Journal of Criminology
17103,Prisma Social
17104,Rev Roumaine des Sciences Techniques-Series Electrotechnique et Energetique
17105,Revista de Derecho Civil
17106,Science Education International
17107,SiSal Journal
17108,Social Work and Social Sciences Review
17109,Studies in Documentary Film
17110,Thailand Statistician
17111,Theoretical and Applied Ecology
17112,Thermal Engineering (English translation of Teploenergetika)
17113,Trends in Sport Sciences
17114,Tropical Biomedicine
17115,Tropical Parasitology
17116,Zhurnal Srednevolzhskogo Matematicheskogo Obshchestva
17117,Applied Engineering in Agriculture
17118,Bariatric Surgical Patient Care
17119,Biomedica
17120,Boletin de la Sociedad Geologica Mexicana
17121,Central European Journal of International and Security Studies
17122,Central European Management Journal
17123,Coupled Systems Mechanics
17124,Discourse and Interaction
17125,Global Food History
17126,Global Studies of Childhood
17127,International Journal of Applied Mathematics
17128,International Journal of Electrochemical Science
17129,International Journal of High Performance Systems Architecture
17130,International Journal of Web-Based Learning and Teaching Technologies
17131,Investigaciones Turisticas
17132,Jordan Journal of Biological Sciences
17133,Journal of Advertising Education
17134,Journal of Logistics
17135,Journal of the Japan Petroleum Institute
17136,Journal of Web Engineering
17137,New Disease Reports
17138,Pakistan Journal of Statistics
17139,Pediatric Dental Journal
17140,Pflege
17141,Physics of Particles and Nuclei
17142,Postmedieval
17143,Refuge
17144,Russian Journal of Nonlinear Dynamics
17145,Slovenska Rec
17146,South African Journal of African Languages
17147,Studies on Russian Economic Development
17148,Textile and Leather Review
17149,Tourism and Hospitality Management
17150,Wound Practice and Research
17151,Zeitschrift fur Rheumatologie
17152,Zemdirbyste
17153,Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg
17154,Acta Chirurgica Belgica
17155,Ankara Universitesi Veteriner Fakultesi Dergisi
17156,Annals of the University of Craiova
17157,Automatic Control and Computer Sciences
17158,Berliner Journal fur Soziologie
17159,Canadian Ethnic Studies/Etudes Ethniques au Canada
17160,Consortium Psychiatricum
17161,Contemporary Problems of Ecology
17162,Creative nursing
17163,Current Research in Environmental and Applied Mycology
17164,Defence Science Journal
17165,Economic and Social Review
17166,EPiC Series in Computing
17167,Food Bioengineering
17168,Foundations and Trends in Microeconomics
17169,IECON Proceedings (Industrial Electronics Conference)
17170,Infocommunications Journal
17171,International Journal of Corrosion
17172,International Journal of Heavy Vehicle Systems
17173,International Journal of Information and Decision Sciences
17174,International Journal of Surgery Open
17175,Iraqi Journal of Science
17176,Izvestiya Instituta Matematiki i Informatiki Udmurtskogo Gosudarstvennogo Universiteta
17177,Journal of Baltic Studies
17178,Journal of Macromolecular Science - Physics
17179,Journal of Rehabilitation in Civil Engineering
17180,Journal of the Southern African Institute of Mining and Metallurgy
17181,Lecture Notes in Computational Science and Engineering
17182,Media e Jornalismo
17183,Mocaxue Xuebao/Tribology
17184,North-Western Journal of Zoology
17185,Ocean Yearbook Online
17186,Probability and Mathematical Statistics
17187,Progress in Pediatric Cardiology
17188,Southern African Journal of Entrepreneurship and Small Business Management
17189,Southern African Linguistics and Applied Language Studies
17190,Theology and Science
17191,Acta Metallurgica Slovaca
17192,Acta Veterinaria Hungarica
17193,Aerospace Systems
17194,Archives of Psychiatry and Psychotherapy
17195,Biomedical Photonics
17196,Bulletin of the American Society of Papyrologists
17197,Cardiovascular and Hematological Disorders - Drug Targets
17198,Chemical Engineering Transactions
17199,China Welding (English Edition)
17200,Communication Today
17201,Computing and Informatics
17202,Criminal Law and Philosophy
17203,Emerging Materials Research
17204,European Review of History/Revue Europeenne d'Histoire
17205,Harvard Journal of Legislation
17206,Herald of the Bauman Moscow State Technical University
17207,Historia
17208,Horizon. Studies in Phenomenology
17209,Industrial Biotechnology
17210,International Journal of Public Theology
17211,International Journal of Semantic Computing
17212,Jazykovedny Casopis
17213,Journal of Applied Pharmaceutical Science
17214,Journal of Culinary Science and Technology
17215,Journal of Extension
17216,Journal of Mathematical Modeling
17217,Journal of Public Interest Communications
17218,Knowledge Cultures
17219,Komp'juternaja Lingvistika i Intellektual'nye Tehnologii
17220,Medical Acupuncture
17221,National Academy Science Letters
17222,Neftyanoe khozyaystvo - Oil Industry
17223,Noise and Vibration Worldwide
17224,Ocean Systems Engineering
17225,Open Chemical Engineering Journal
17226,Physical Chemistry Research
17227,Progress in Agricultural Engineering Sciences
17228,RCN nursing standard
17229,Revista Colombiana de Psicologia
17230,Revista de Derecho
17231,Suo
17232,Text and Performance Quarterly
17233,Transactions of the Indian Ceramic Society
17234,Vestnik Moskovskogo Universiteta
17235,Acta Historiae Artis Slovenica
17236,Annali di Botanica
17237,Annals of Laparoscopic and Endoscopic Surgery
17238,Arts and the Market
17239,Biomedical and Biotechnology Research Journal
17240,Case Reports in Ophthalmology
17241,Cryo-Letters
17242,Cyber-Physical Systems
17243,Expert Review of Precision Medicine and Drug Development
17244,IEEJ Transactions on Industry Applications
17245,International Journal of Business Governance and Ethics
17246,International Journal of Language Studies
17247,Journal of Advanced Manufacturing Systems
17248,Journal of Agricultural Science and Technology
17249,Journal of Language and Education
17250,Journal of Medieval Iberian Studies
17251,Journal of the Nigerian Society of Physical Sciences
17252,Journal of Threatened Taxa
17253,Journal of Tropical Forest Science
17254,Palaeontographica
17255,Polimery
17256,Politiche Sociali
17257,Proceedings - Frontiers in Education Conference
17258,Round Table
17259,Science in Context
17260,Supramolecular Chemistry
17261,Theory and Practice in Language Studies
17262,Vitis - Journal of Grapevine Research
17263,Zeitschrift fur Naturforschung - Section B Journal of Chemical Sciences
17264,Zoodiversity
17265,Acta medica Indonesiana
17266,Acta Palaeontologica Romaniae
17267,Agrivita
17268,Archaeologia Lituana
17269,Computational Continuum Mechanics
17270,Cybernetics and Systems Analysis
17271,Desalination and Water Treatment
17272,Frontiers in Heat and Mass Transfer
17273,Geociencias
17274,Iheringia - Serie Zoologia
17275,Indian Chemical Engineer
17276,Interamerican Journal of Psychology
17277,International Journal of Electric and Hybrid Vehicles
17278,International Journal of Fluid Power
17279,International Journal of Mechatronics and Manufacturing Systems
17280,Iranian Endodontic Journal
17281,Journal of Air Pollution and Health
17282,Journal of Applied Arts and Health
17283,Journal of Information Processing
17284,Journal of Inter-Organizational Relationships
17285,Journal of Nepal Health Research Council
17286,Journal of Policing
17287,Journal of Sensors and Sensor Systems
17288,Journal of Social Work Practice in the Addictions
17289,Journal of Thermal Science and Technology
17290,Journal of trauma nursing : the official journal of the Society of Trauma Nurses
17291,Kant-Studien
17292,Kidney Cancer
17293,Kriterion (Austria)
17294,Letters in Biomathematics
17295,Malacologia
17296,Nano Biomedicine and Engineering
17297,Pesquisa Agropecuaria Tropical
17298,Protection of Metals and Physical Chemistry of Surfaces
17299,Random Operators and Stochastic Equations
17300,Revista de Artes Marciales Asiaticas
17301,Sexologies
17302,South African Journal of Animal Sciences
17303,Strabismus
17304,Studies in Fungi
17305,Zbornik Instituta za Pedagoska Istrazivanja
17306,Acta Orthopaedica Belgica
17307,Analyse und Kritik
17308,Annals of Joint
17309,Arboricultural Journal
17310,Asian Journal of Agriculture and Biology
17311,Australian Journal of Linguistics
17312,Categories and General Algebraic Structures with Applications
17313,Chimia
17314,Critique Internationale
17315,Current Green Chemistry
17316,Egyptian Journal of Anaesthesia
17317,European Journal of Cultural and Political Sociology
17318,Fundamental and Applied Mathematics
17319,International Journal of Aviation
17320,International Journal of Mathematics and Mathematical Sciences
17321,International Journal of Medical Engineering and Informatics
17322,International Journal of Productivity and Quality Management
17323,Iranian Journal of Child Neurology
17324,Islam and Christian-Muslim Relations
17325,JAMS Journal of Acupuncture and Meridian Studies
17326,Journal of Community Health Nursing
17327,Journal of Eta Maritime Science
17328,Journal of Herbs
17329,Journal of Historical Sociolinguistics
17330,Journal of Latin American Studies
17331,Journal of Law and Society
17332,Journal of Library Science in China
17333,Journal of Military Ethics
17334,Journal of Oil Palm Research
17335,Journal of Structured Finance
17336,Legal Studies
17337,Neurocirugia
17338,New Zealand Journal of Crop and Horticultural Science
17339,Noctua
17340,Open Public Health Journal
17341,Proceedings of the Entomological Society of Washington
17342,Res Philosophica
17343,Research in Educational Administration and Leadership
17344,Revista de Cancioneros Impresos y Manuscritos
17345,Slavery and Abolition
17346,Tec Empresarial
17347,Tropical Natural History
17348,Ultrasound
17349,Unfallchirurgie (Germany)
17350,Acta Chimica Slovenica
17351,Advances in Condensed Matter Physics
17352,Anales del Jardin Botanico de Madrid
17353,Archive for the Psychology of Religion
17354,Archives of Automotive Engineering
17355,BioRisk
17356,Brazilian Journal of Occupational Therapy
17357,Bulletin of the Iraq Natural History Museum
17358,Cancer Research
17359,Central European Journal of Energetic Materials
17360,Economic Affairs
17361,Emirates Journal of Food and Agriculture
17362,Environmental Health Engineering and Management
17363,EPJ Nuclear Sciences and Technologies
17364,Estudios Eclesiasticos
17365,Eurasian Journal of Medicine and Oncology
17366,Exploration of Immunology
17367,Forensic Science International: Genetics Supplement Series
17368,Fragmenta Entomologica
17369,Fukushima Journal of Medical Sciences
17370,GeoScape
17371,InterCarto
17372,International Journal of Design and Nature and Ecodynamics
17373,International Journal of Diabetes in Developing Countries
17374,International Journal of Supply and Operations Management
17375,Iranian Journal of Applied Animal Science
17376,Jornal Brasileiro de Psiquiatria
17377,Journal of Aerospace Technology and Management
17378,Journal of Comparative Politics
17379,Journal of Endometriosis and Pelvic Pain Disorders
17380,Journal of General Music Education
17381,Journal of Korean Academic Society of Nursing Education
17382,Journal of Korean Institute of Metals and Materials
17383,Journal of Management
17384,Journal of Numerical Analysis
17385,Journal of Opioid Management
17386,Journal of the ASEAN Federation of Endocrine Societies
17387,Journal of the British Academy
17388,Journal of World Energy Law and Business
17389,Kinetics and Catalysis
17390,Konstantinove Listy
17391,Korean Journal of Plant Taxonomy
17392,Outlooks on Pest Management
17393,Pravention und Gesundheitsforderung
17394,Praxis Educativa
17395,Progress In Electromagnetics Research M
17396,Revista de Sociologia e Politica
17397,Twentieth-Century Music
17398,Wader Study
17399,Zhejiang da xue xue bao. Yi xue ban = Journal of Zhejiang University. Medical sciences
17400,ACM International Conference Proceeding Series
17401,Advances in Pure and Applied Mathematics
17402,American Journal of Economics and Sociology
17403,Annals of Pancreatic Cancer
17404,Applications of Mathematics
17405,Baltic Journal of Modern Computing
17406,Bulletin Mathematique de la Societe des Sciences Mathematiques de Roumanie
17407,Case Reports in Medicine
17408,Environment and Natural Resources Journal
17409,Ethik in der Medizin
17410,EUREKA
17411,Geographia Technica
17412,Hsi-An Chiao Tung Ta Hsueh/Journal of Xi'an Jiaotong University
17413,Indian Journal of Marketing
17414,International Journal of Economic Policy in Emerging Economies
17415,International Journal of Engineering Systems Modelling and Simulation
17416,International Journal of Sociotechnology and Knowledge Development
17417,Journal of African American Studies
17418,Journal of Drug Policy Analysis
17419,Journal of Energy in Southern Africa
17420,Journal of Palestine Studies
17421,Journal of the Indian Ocean Region
17422,Mathematical Intelligencer
17423,Monte Carlo Methods and Applications
17424,Narodopisna Revue
17425,New Materials
17426,Novaya i Novejshaya Istoriya
17427,Polimeros
17428,Polish Journal of Veterinary Sciences
17429,Sociedade e Estado
17430,Transactions of the American Entomological Society
17431,Zolotoordynskoe Obozrenie
17432,Ambiente e Sociedade
17433,American Journal of Nursing
17434,Anti-Trafficking Review
17435,AORN Journal
17436,Archaeologia Historica
17437,Atalanta
17438,Bangladesh Journal of Medical Science
17439,Botanica Pacifica
17440,Bulletin of Geography
17441,Current Optics and Photonics
17442,Foundations and Trends in Electronic Design Automation
17443,Global Responsibility to Protect
17444,Historia Social
17445,International Journal for Ion Mobility Spectrometry
17446,International Journal of Management and Decision Making
17447,International Journal of Statistics in Medical Research
17448,International Journal of Web Based Communities
17449,Iranian Journal of Chemistry and Chemical Engineering
17450,Journal of Agricultural Resources and Environment
17451,Journal of Animal Health and Production
17452,Journal of Computational Biophysics and Chemistry
17453,Journal of Education
17454,Journal of Failure Analysis and Prevention
17455,Journal of Gemmology
17456,Journal of Human Sport and Exercise
17457,Journal of Human Values
17458,Journal of perioperative practice
17459,Journal of Visual Communication in Medicine
17460,Measurement Techniques
17461,Ming studies
17462,Molecular Astrophysics
17463,Nano
17464,Participatory Educational Research
17465,Plant Protection
17466,Planta Daninha
17467,Progress in Chemistry
17468,Progress in Reaction Kinetics and Mechanism
17469,Revista Transilvania
17470,Revue Biblique
17471,Sleep and Vigilance
17472,Social Psychology and Society
17473,South Asia: Journal of South Asia Studies
17474,Tenside
17475,Agriculture and Forestry
17476,Atmospheric and Oceanic Optics
17477,Atomic Energy
17478,Avicenna Journal of Nursing and Midwifery Care
17479,Biophysics (Russian Federation)
17480,Biosurface and Biotribology
17481,Computer Optics
17482,Data and Metadata
17483,Ecological Genetics and Genomics
17484,Economic and Political Weekly
17485,Engineering Economist
17486,Foundations and Trends in Technology
17487,Global Cardiology Science and Practice
17488,IAENG International Journal of Applied Mathematics
17489,International Journal of Aquatic Biology
17490,International Journal of Data Warehousing and Mining
17491,International Journal of Decision Support System Technology
17492,International Journal of E-Services and Mobile Applications
17493,International Journal of Human Movement and Sports Sciences
17494,International Journal of Psychology and Psychological Therapy
17495,International Journal of Software Engineering and Knowledge Engineering
17496,Journal of Algorithms and Computational Technology
17497,Journal of Applied Logics
17498,Journal of Astronomy and Space Sciences
17499,Journal of Chiropractic Education
17500,Journal of Contemporary Mathematical Analysis
17501,Journal of Research of the National Institute of Standards and Technology
17502,Journal of Testing and Evaluation
17503,Journal of the Canadian Dental Association
17504,Kappa Delta Pi Record
17505,Logical Investigations
17506,Management
17507,Metrology and Measurement Systems
17508,Mineralogia
17509,Neural Network World
17510,Nukleonika
17511,Periodico di Mineralogia
17512,Rare Tumors
17513,Studia Quaternaria
17514,Swiss Journal of Sociology
17515,Urbano
17516,Xi'an Shiyou Daxue Xuebao (Ziran Kexue Ban)/Journal of Xi'an Shiyou University
17517,Zeitschrift fur Kristallographie - Crystalline Materials
17518,Agua y Territorio
17519,Anatolica
17520,Applied Mathematics and Nonlinear Sciences
17521,Archives of Thermodynamics
17522,Brazilian Archives of Biology and Technology
17523,Columbia Journal of Transnational Law
17524,COMPEL - The International Journal for Computation and Mathematics in Electrical and Electronic Engineering
17525,Comptes Rendus - Mecanique
17526,Economics and Business Letters
17527,Egyptian Liver Journal
17528,Electrica
17529,European Convention on Human Rights Law Review
17530,European Journal of Applied Linguistics and TEFL
17531,Experimental Oncology
17532,Finisterra
17533,Floresta e Ambiente
17534,Human Rights Quarterly
17535,Hydrological Research Letters
17536,Indian Journal of Nephrology
17537,Indian Journal of Surgical Oncology
17538,InterEULawEast
17539,International Forum of Psychoanalysis
17540,International Journal of Digital Multimedia Broadcasting
17541,International Journal of Quantum Information
17542,International Journal of Religious Tourism and Pilgrimage
17543,Journal of Asian Pacific Communication
17544,Journal of Multiscale Modeling
17545,Journal of the Chinese Society of Corrosion and Protection
